"astro-ph/0209283","Taichi Kato","T. Kato, M. Uemura (Kyoto U), K. Matsumoto (Okayama U), T. Kinnunen,
  G. Garradd, G. Masi (VSNET Collaboration team), H. Yamaoka (Kyushu U)","WZ Sge-Type Star V592 Herculis","10 pages, 7 figures, accepted for publication in Publ. Astron. Soc.
  Japan",,"10.1093/pasj/54.6.999",,"astro-ph",,"  We observed the entire course of the 1998 outburst of V592 Her, which was
originally reported as a nova in 1968. We have been able to construct a full
light curve of the outburst, which is characterized by a rapid initial decline
(0.98 mag/d), which smoothly developed into a plateau phase with a slower
linear decline. We detected superhumps characteristic to SU UMa-type dwarf
novae ~7 d after the optical maximum. The overall behavior of the light curve
and the development of superhumps were characteristic to a WZ Sge-type dwarf
nova. Combined with the past literature, we have been able to uniquely
determine the superhump period to be 0.05648(2) d. From this period, together
with a modern interpretation of the absolute magnitude of the outburst light
curve, we conclude that the overall picture of V592 Her is not inconsistent
with a lower main-sequence secondary star in contrast to a previous claim that
V592 Her contains a brown dwarf.
","[{""version"":""v1"",""created"":""Sun, 15 Sep 2002 04:46:26 GMT""},{""version"":""v2"",""created"":""Wed, 2 Oct 2002 03:13:58 GMT""}]","2015-06-24"
"astro-ph/0209285","Peter Anders","Peter Anders (1), Uta Fritze--v. Alvensleben (1), Richard de Grijs (2)
  ((1) Universit\""ats-Sternwarte G\""ottingen, (2) Institute of Astronomy,
  Cambridge)","Analysing Multi-Color Observations of Young Star Clusters in Mergers","2 pages, to appear in Conference Proceedings 'New Horizons in
  Globular Cluster Astronomy', Padova 2002, at ASP Conf. Ser., by G. Piotto, G.
  Meylan, G. Djorgovski, M. Riello, requires 'newpasp' style",,,,"astro-ph",,"  We present a new evolutionary synthesis (ES) tool specifically developed for
the analysis of multi-color data of young star clusters (YSCs) in interacting
galaxies. Our ESO/ST-ECF ASTROVIRTEL project provides an unprecedented database
of UV--optical--NIR observations from the HST/WFPC2, HST/NICMOS and VLT data
archives. Comparison of these data with ES models for clusters of various
metallicities which include gaseous emission as well as various degrees of dust
extinction, allows one to independently determine metallicities, ages and
extinction for individual clusters. These, in turn, are the basis to derive the
mass functions of the YSC systems and to predict the future evolution of their
luminosity functions and color distributions. Comparing YSC systems of various
ages will, we anticipate, allow us to ``see cluster disruption processes at
work''.
","[{""version"":""v1"",""created"":""Sat, 14 Sep 2002 17:48:49 GMT""}]","2007-05-23"
"astro-ph/0209286","Mukremin Kilic","M.Kilic (1), D.E. Winget (1), T. von Hippel (1), D.F. Lester (1), D.
  Saumon (2) ((1) University of Texas at Austin, (2) Los Alamos National
  Laboratory)","Search For Oxygen in Cool DQ White Dwarf Atmospheres","2 pages, 2 figures, to appear in proceedings of the 13th European
  Workshop on White Dwarfs",,,,"astro-ph",,"  We report new infrared spectroscopic observations of cool DQ white dwarfs by
using Coolspec on the 2.7m Harlan-Smith Telescope. DQs have helium-rich
atmospheres with traces of molecular carbon thought to be the result of
convective dredge-up from their C/O interiors. Recent model calculations
predict that oxygen should also be present in DQ atmospheres in detectable
amounts. Our synthetic spectra calculations for He-rich white dwarfs with
traces of C and O indicate that CO should be easily detected in the cool DQ
atmospheres if present in the expected amounts. Determination of the oxygen
abundance in the atmosphere will reveal the C/O ratio at the core/envelope
boundary, constraining the important and uncertain ^{12}C(alpha,gamma)^{16}O
reaction rate.
","[{""version"":""v1"",""created"":""Sun, 15 Sep 2002 02:16:00 GMT""}]","2007-05-23"
"astro-ph/0209287","Igor Rogachevskii","K-H. Raedler, N. Kleeorin and I. Rogachevskii","The Mean Electromotive Force for MHD Turbulence: the Case of a Weak Mean
  Magnetic Field and Slow Rotation","19 pages, REVTEX4, submitted to Geophys. Astrophys. Fluid Dynamics","Geophys.Astrophys.Fluid Dynamics 97 (2003) 249-274","10.1080/0309192031000151212",,"astro-ph",,"  The mean electromotive force in the framework of mean--field
magnetohydrodynamics is found with a particular attention to the effect of a
mean rotation of the fluid on the mean electromotive force. Anisotropy of the
turbulence due to gradients of its intensity or its helicity are admitted. The
mean magnetic field is considered to be weak enough to exclude quenching
effects. Magnetic fluctuations with a zero mean magnetic field are taken into
account. The Omega x J -effect works in the same way with velocity fluctuations
and magnetic fluctuations. A contribution to the electromotive force connected
with the symmetric parts of the gradient tensor of the mean magnetic field was
found in the case of rotation, resulting from velocity or magnetic
fluctuations. The implications of the results for the mean electromotive force
for mean--field dynamo models are discussed with special emphasis to dynamos
working without alpha-effect.
","[{""version"":""v1"",""created"":""Sun, 15 Sep 2002 12:58:51 GMT""}]","2009-11-07"
"cond-mat/0209341","Dietrich Stauffer","Christian Schulze","Long-range interactions in Sznajd consensus model","Not ye4t submittted, waiting for your comments; 6 pages",,"10.1016/S0378-4371(03)00078-5",,"cond-mat.stat-mech",,"  The traditional Sznajd model, as well as its Ochrombel simplification, for
opinion spreading are modified to have a convincing strength proportional to a
negative power of the spatial distance. We find the usual phase transition in
the full Sznajd model, but not in the Ochrombel simplification. We also mix the
two rules, which favours a phase transition.
","[{""version"":""v1"",""created"":""Sat, 14 Sep 2002 17:00:12 GMT""}]","2009-11-07"
"cond-mat/0209342","Todor M. Mishonov","Todor M. Mishonov, Evgeni S. Penev, Joseph O. Indekeu, and Valery L.
  Pokrovsky","Specific Heat Discontinuity in Impure Two-Band Superconductors","New results relate to two-band superconductors, 9 pages, 2 figures",,"10.1103/PhysRevB.68.104517",,"cond-mat.supr-con",,"  The Ginzburg-Landau coefficients, and the jump of the specific heat are
calculated for a disordered two-band superconductor. We start with the analysis
of a more general case arbitrary anisotropy. While the specific heat
discontinuity at the critical temperature T_c decreases with increasing
disorder, its ratio to the normal state specific heat at T_c increases and
slowly converges to the isotropic value. For a strong disorder the deviation
from the isotropic value is proportional to the elastic electron scattering
time. In the case of a two-band superconductor we apply a simplified model of
the interaction independent on momentum within a band. In the framework of this
model all thermodynamic values can be found explicitly at any value of the
scattering rate. This solution explains the sample dependence of the specific
heat discontinuity in MgB_2 and the influence of the disorder on the critical
temperature.
","[{""version"":""v1"",""created"":""Sat, 14 Sep 2002 19:28:45 GMT""},{""version"":""v2"",""created"":""Mon, 17 Mar 2003 17:39:39 GMT""}]","2009-11-07"
"cond-mat/0209343","Marakani Srikant","Belal E. Baaquie and Marakani Srikant","Hedging in Field Theory Models of the Term Structure","18 figures, Invited Talk, International Econophysics Conference,
  Bali, 28-31 August 2002","Phys. Rev. E 69, 036130 (2004)","10.1103/PhysRevE.69.036130",,"cond-mat.stat-mech q-fin.PR",,"  We use path integrals to calculate hedge parameters and efficacy of hedging
in a quantum field theory generalization of the Heath, Jarrow and Morton (HJM)
term structure model which parsimoniously describes the evolution of
imperfectly correlated forward rates. We also calculate, within the model
specification, the effectiveness of hedging over finite periods of time. We use
empirical estimates for the parameters of the model to show that a low
dimensional hedge portfolio is quite effective.
","[{""version"":""v1"",""created"":""Sun, 15 Sep 2002 13:01:11 GMT""}]","2009-11-07"
"cond-mat/0209344","Zhi-Rong Liu","Zhi-Rong Liu, Huajian Gao","Coupling time scales for simulation of structure transformation: an
  attempt to combine molecular dynamics and phase-field theory","8 pages, 2 figures",,,,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  A multiscale scheme combining molecular dynamics (MD) and microscopic
phase-field theory is proposed to study the structural phase transformations in
solids with inhomogeneous strain field. The approach calculates strain response
based on MD and atomic diffusion based on the phase field theory. Simulations
with the new technique are conducted in two examples. The first involves
interface roughening in a Co/Cu thin film, where interfacial undulations due to
lattice mismatch is demonstrated. The second example is a study of spinodal
decomposition in AgCo/Pt/MgO(001) thin film, where we show that Co atoms are
attracted by dislocations in the Pt/MgO interface, producing an interesting
nanostructure.
","[{""version"":""v1"",""created"":""Sun, 15 Sep 2002 14:27:59 GMT""}]","2007-05-23"
"cond-mat/0209345","Morten Ring Eskildsen","M. R. Eskildsen, M. Kugler, G. Levy, S. Tanaka, J. Jun, S. M. Kazakov,
  J. Karpinski, O. Fischer","Scanning Tunneling Spectroscopy on Single Crystal MgB2","12 pages, 7 figs. Submitted to Physica C","Physica C, vol. 385, pp. 169-176 (2003)","10.1016/S0921-4534(02)02301-8",,"cond-mat.supr-con",,"  We report on the results of scanning tunneling spectroscopy measurements on
single crystals of Mg2. Tunneling was performed both parallel and perpendicular
to the crystalline c-axis. In the first case, a single superconducting gap
(Delta_pi = 2.2 meV) associated with the pi-band is observed. Tunneling
parallel to the ab-plane reveals an additional, larger gap (Delta_sigma ~ 7
meV) originating in the highly two-dimensional sigma-band. Vortex imaging in
the pi-band was performed with the field and tunnel current parallel to the
c-axis. The vortices have a large core size compared to estimates based on Hc2,
and show an absence of localized states in the core. Furthermore,
superconductivity between the vortices is rapidly suppressed by an applied
field. A comparison to specific heat measurements is performed.
","[{""version"":""v1"",""created"":""Sun, 15 Sep 2002 15:33:19 GMT""}]","2007-05-23"
"cond-mat/0209346","Li You","Li You","Creating maximally entangled atomic states in a Bose-Einstein condensate","4 pages, 2 figures. revised version as to be published",,"10.1103/PhysRevLett.90.030402",,"cond-mat.mes-hall quant-ph",,"  We propose a protocol to create maximally entangled pairs, triplets,
quartiles, and other clusters of Bose condensed atoms starting from a
condensate in the Mott insulator state. The essential element is to drive
single atom Raman transitions using laser pulses. Our scheme is simple,
efficient, and can be readily applied to the recent experimental system as
reported by Greiner {\it et al.} [ Nature {\bf 413}, 44 (2002)].
","[{""version"":""v1"",""created"":""Sun, 15 Sep 2002 15:46:59 GMT""},{""version"":""v2"",""created"":""Thu, 12 Dec 2002 16:35:20 GMT""}]","2009-11-07"
