"astro-ph/0209131","Simone Migliari","Simone Migliari (Amsterdam), Rob Fender (Amsterdam) and Mariano Mendez
  (SRON)","Iron Emission Lines from Extended X-ray Jets in SS 433: Reheating of
  Atomic Nuclei",,"Published in Science, 297, 1673 (2002)","10.1126/science.1073660",,"astro-ph",,"  Powerful relativistic jets are among the most ubiquitous and energetic
observational consequences of accretion around supermassive black holes in
active galactic nuclei and neutron stars and stellar-mass black holes in x-ray
binary (XRB) systems. But despite more than three decades of study, the
structure and composition of these jets remain unknown. Here we present
spatially resolved x-ray spectroscopy of arc second-scale x-ray jets from the
XRB SS 433 analized with the Chandra advanced charge-coupled device imaging
spectrometer. These observations reveal evidence for a hot continuum and
Doppler-shifted iron emission lines from spatially resolved regions.
Apparently, in situ reheating of the baryonic component of the jets takes place
in a flow that moves with relativistic bulk velocity even more than 100 days
after launch from the binary core.
","[{""version"":""v1"",""created"":""Sat, 7 Sep 2002 17:38:09 GMT""}]","2009-11-07"
"astro-ph/0209132","William C. Jones","W.C. Jones, R.S. Bhatia, J.J. Bock, A.E. Lange","A Polarization Sensitive Bolometric Detector for Observations of the
  Cosmic Microwave Background","12 pages,7 figures. Figures revised to reduce file size","SPIE Proceedings, Waikaloa 2002",,,"astro-ph physics.ins-det",,"  We have developed a bolometric detector that is intrinsically sensitive to
linear polarization which is optimized for making measurements of the
polarization of the cosmic microwave background radiation. The receiver
consists of a pair of co-located silicon nitride micromesh absorbers which
couple anisotropically to linearly polarized radiation through a corrugated
waveguide structure. This system allows simultaneous background limited
measurements of the Stokes I and Q parameters over ~ 30% bandwidths at
frequencies from ~ 60 to 600 GHz. Since both linear polarizations traverse
identical optical paths from the sky to the point of detection, the
susceptibility to systematic effects is minimized. The amount of uncorrelated
noise between the two polarization senses is limited to the quantum limit of
thermal and photon shot noise, while drifts in the relative responsivity to
orthogonal polarizations are limited to the effect of non-uniformity in the
thin film deposition of the leads and the intrinsic thermistor properties.
Devices using NTD Ge thermistors have achieved NEPs of 2 x 10^{-17} W/sqrt{Hz}
with a 1/f knee below 100 mHz at a base temperature of 270 mK. Numerical
modelling of the structures has been used to optimize the bolometer geometry
and coupling to optics. Comparisons of numerical results and experimental data
are made. A description of how the quantities measured by the device can be
interpreted in terms of the Stokes parameters is presented. The receiver
developed for the Boomerang and Planck HFI focal planes is presented in detail.
","[{""version"":""v1"",""created"":""Sun, 8 Sep 2002 05:31:55 GMT""}]","2020-12-22"
"astro-ph/0209133","Amitesh Omar","A. Omar (1), J. N. Chengalur (2), D. Anish Roshi (3) ((1) Raman
  Research Institute, Bangalore (2) National Centre for Radio Astrophysics,
  Pune (3) National Radio Astronomical Observatory, Green Bank)","Multi-frequency GMRT Observations of the HII regions S 201, S 206, and S
  209 : Galactic Temperature Gradient","Accepted for publication in Astronomy & Astrophysics, 13 figures, 6
  pages, LateX","Astron.Astrophys. 395 (2002) 227-232","10.1051/0004-6361:20021302",,"astro-ph",,"  We present radio continuum images of three Galactic HII regions, S 201, S
206, and S 209 near 232, 327, and 610 MHz using the Giant Meterwave Radio
Telescope (GMRT). The GMRT has a mix of short and long baselines, therefore,
even though the data have high spatial resolution, the maps are still sensitive
to diffuse extended emission. We find that all three HII regions have bright
cores surrounded by diffuse envelopes. We use the high resolution afforded by
the data to estimate the electron temperatures and emission measures of the
compact cores of these HII regions. Our estimates of electron temperatures are
consistent with a linear increase of electron temperature with Galacto-centric
distance for distances up to 18 kpc (the distance to the most distant HII
region in our sample).
","[{""version"":""v1"",""created"":""Sun, 8 Sep 2002 04:59:56 GMT""}]","2009-11-07"
"astro-ph/0209134","H. M. Antia","H. M. Antia and S. M. Chitre (TIFR, Mumbai)","Helioseismic limit on heavy element abundance","4 pages, to appear in Astron. Astrophys","Astron.Astrophys.393:L95-L98,2002","10.1051/0004-6361:20021253",,"astro-ph",,"  Primary inversions of accurately measured solar oscillation frequencies
coupled with the equations of thermal equilibrium and other input physics,
enable us to infer the temperature and hydrogen abundance profiles inside the
Sun. These profiles also help in setting constraints on the input physics as
well as on heavy element abundance in the solar core. Using different
treatments of plasma screening for nuclear reaction rates, limits on the
cross-section of proton-proton nuclear reaction as a function of heavy element
abundance in the solar core are obtained and an upper limit on heavy element
abundance in the solar core is also derived from these results.
","[{""version"":""v1"",""created"":""Sun, 8 Sep 2002 07:27:39 GMT""}]","2009-11-07"
"cond-mat/0209185","John Schliemann","John Schliemann, J. Carlos Egues, Daniel Loss","Variational study of the nu=1 quantum Hall ferromagnet in the presence
  of spin-orbit interaction","9 pages, 3 figures included, version to appear in Phys. Rev. B","Phys. Rev. B 67, 085302 (2003)","10.1103/PhysRevB.67.085302",,"cond-mat.mes-hall",,"  We investigate the nu=1 quantum Hall ferromagnet in the presence of
spin-orbit coupling of the Rashba or Dresselhaus type by means of
Hartree-Fock-typed variational states. In the presence of Rashba (Dresselhaus)
spin-orbit coupling the fully spin-polarized quantum Hall state is always
unstable resulting in a reduction of the spin polarization if the product of
the particle charge $q$ and the effective $g$-factor is positive (negative). In
all other cases an alternative variational state with O(2) symmetry and finite
in-plane spin components is lower in energy than the fully spin-polarized state
for large enough spin-orbit interaction. The phase diagram resulting from these
considerations differs qualitatively from earlier studies.
","[{""version"":""v1"",""created"":""Sat, 7 Sep 2002 16:32:53 GMT""},{""version"":""v2"",""created"":""Fri, 13 Dec 2002 10:26:32 GMT""}]","2009-11-07"
"cond-mat/0209186","Martin Gmitra","Martin Gmitra, Denis Horvath","Neural network analysis of the magnetization reversal in magnetic dot
  arrays","5 pages, 6 figures. Accepted for publication: ""Acta Electrotechnica
  et Informatica"" (http://www.aei.tuke.sk/)",,,,"cond-mat.dis-nn cond-mat.stat-mech",,"  We simulated the remagnetization dynamics of the ultra-dense and ultra-thin
magnetic dot array system with dipole-dipole and exchange coupling
interactions. Within the proposed 2D XY superlattice model, the square dots are
modeled by the spatially modulated exchange-couplings. The dipole-dipole
interactions were approximated by the hierarchical sums and dynamics was
reduced to damping term of the Landau-Lifshitz-Gilbert equation. The simulation
of 40 000 spin system leads to nonequilibrium nonuniform configurations with
soliton-antisoliton pairs detected at intra-dot and inter-dot scales. The
classification of intra-dot magnetic configurations was performed using the
self-adaptive neural networks with varying number of neurons.
","[{""version"":""v1"",""created"":""Sat, 7 Sep 2002 17:33:41 GMT""}]","2007-05-23"
"cond-mat/0209187","Yasuhiro Utsumi","Yasuhiro Utsumi, Hiroshi Imamura, Masahiko Hayashi, Hiromichi Ebisawa","Noise of a single-electron transistor in the regime of large quantum
  fluctuations of island charge out of equilibrium","16 pages, 10 figures, accepted for publication in Phys. Rev. B.
  Revised version: references added, notation simplified","Phys. Rev. B 67, 035317 (2003)","10.1103/PhysRevB.67.035317",,"cond-mat.mes-hall cond-mat.str-el",,"  By using the drone-fermion representation and the Schwinger-Keldysh approach,
we calculate the current noise and the charge noise for a single-electron
transistor in the non-equilibrium state in the presence of large quantum
fluctuation of island charge. Our result interpolates between those of the
""orthodox theory"" and the ""co-tunneling theory"". We find the following effects
which are not treated by previous theories: (i) At zero temperature T=0 and at
finite applied bias voltage $|eV| \gg T_{K}$, where $T_{K}$ is the ""Kondo
temperature"", we find the Fano factor is suppressed more than the suppression
caused by Coulomb correlation both in the Coulomb blockade regime and in the
sequential tunneling regime. (ii) For $T \gg |eV|/2 \gg T_{K}$, the current
noise in the presence of large charge fluctuation is modified and deviates from
the prediction of the orthodox theory. However, the Fano factor coincides with
that of the orthodox theory and is proportional to the temperature. (iii) For
$eV, T \lesssim T_{K}$, the charge noise is suppressed due to the
renormalization of system parameters caused by quantum fluctuation of charge.
We interpret it in terms of the modification of the ""unit"" of the island
charge.
","[{""version"":""v1"",""created"":""Sun, 8 Sep 2002 10:32:53 GMT""},{""version"":""v2"",""created"":""Sat, 2 Nov 2002 10:24:44 GMT""}]","2009-11-07"
"cond-mat/0209188","Moroz A.","Alexander Moroz","Metallo-dielectric diamond and zinc-blende photonic crystals","25 pp, 23 figs, RevTex, to appear in Phys Rev B. For more information
  look at
  http://www.amolf.nl/research/photonic_materials_theory/moroz/moroz.html","Phys. Rev. B 66, 115109 (2002)","10.1103/PhysRevB.66.115109",,"cond-mat.mtrl-sci physics.chem-ph physics.optics",,"  It is shown that small inclusions of a low absorbing metal can have a
dramatic effect on the photonic band structure. In the case of diamond and
zinc-blende photonic crystals, several complete photonic band gaps (CPBG's) can
open in the spectrum, between the 2nd-3rd, 5th-6th, and 8th-9th bands. Unlike
in the purely dielectric case, in the presence of small inclusions of a low
absorbing metal the largest CPBG for a moderate dielectric constant
(epsilon<=10) turns out to be the 2nd-3rd CPBG. The 2nd-3rd CPBG is the most
important CPBG, because it is the most stable against disorder. For a diamond
and zinc-blende structure of nonoverlapping dielectric and metallo-dielectric
spheres, a CPBG begins to decrease with an increasing dielectric contrast
roughly at the point where another CPBG starts to open--a kind of gap
competition. A CPBG can even shrink to zero when the dielectric contrast
increases further. Metal inclusions have the biggest effect for the dielectric
constant 2<=epsilon<=12, which is a typical dielectric constant at near
infrared and in the visible for many materials, including semiconductors and
polymers. It is shown that one can create a sizeable and robust 2nd-3rd CPBG at
near infrared and visible wavelengths even for a photonic crystal which is
composed of more than 97% low refractive index materials (n<=1.45, i.e., that
of silica glass or a polymer). These findings open the door for any
semiconductor and polymer material to be used as genuine building blocks for
the creation of photonic crystals with a CPBG and significantly increase the
possibilities for experimentalists to realize a sizeable and robust CPBG in the
near infrared and in the visible. One possibility is a construction method
using optical tweezers, which is analyzed here.
","[{""version"":""v1"",""created"":""Sun, 8 Sep 2002 13:31:17 GMT""}]","2007-05-23"
"cond-mat/0209189","Cristine Villagonzalo","R. A. Roemer, A. MacKinnon and C. Villagonzalo","Thermoelectric Properties of Disordered Systems","accepted in Proceedings of Localisation 2002 Conference, Tokyo, Japan
  (to be published as supplement of J. Phys. Soc. Japan)",,,,"cond-mat.dis-nn",,"  The electronic properties of disordered systems have been the subject of
intense study for several decades. Thermoelectric properties, such as
thermopower and thermal conductivity, have been relatively neglected. A long
standing problem is represented by the sign of the thermoelectric power. In
crystalline semiconductors this is related to the sign of the majority
carriers, but in non-crystalline systems it is commonly observed to change sign
at low temperatures. In spite of its apparent universality this change has been
interpreted in a variety of ways in different systems. We have developed a
Green's function recursion algorithm based on the
Chester-Thelling-Kubo-Greenwood formula for calculating the kinetic
coefficients on long strips or bars. From these we can deduce the electrical
conductivity, the Seebeck and Peltier coefficients and the thermal
conductivity, as well as the Lorenz number. We present initial results for 1D
systems. We observe a Lorentzian distribution for the thermopower which is
modified by the presence of inelastic scattering. This could give rise to
non-negligible quantum fluctuations in macroscopic systems at low temperatures.
","[{""version"":""v1"",""created"":""Sun, 8 Sep 2002 15:42:35 GMT""}]","2007-05-23"
"gr-qc/0209024","Vojtich Pravda","V. Pravda, A. Pravdova, A. Coley, R. Milson","All spacetimes with vanishing curvature invariants","24 pages","Class.Quant.Grav.19:6213-6236,2002","10.1088/0264-9381/19/23/318",,"gr-qc",,"  All Lorentzian spacetimes with vanishing invariants constructed from the
Riemann tensor and its covariant derivatives are determined. A subclass of the
Kundt spacetimes results and we display the corresponding metrics in local
coordinates. Some potential applications of these spacetimes are discussed.
","[{""version"":""v1"",""created"":""Sat, 7 Sep 2002 19:46:43 GMT""}]","2008-11-26"
